threshold,net_benefit,net_benefit_all,sensitivity,specificity,PPV,F1
0.01,0.32659932659932656,0.32659932659932656,1.0,0.0,0.3333333333333333,0.5
0.02,0.31972789115646255,0.31972789115646255,1.0,0.0,0.3333333333333333,0.5
0.03,0.3127147766323024,0.3127147766323024,1.0,0.0,0.3333333333333333,0.5
0.04,0.3055555555555555,0.3055555555555555,1.0,0.0,0.3333333333333333,0.5
0.05,0.2982456140350877,0.2982456140350877,1.0,0.0,0.3333333333333333,0.5
0.06,0.2907801418439716,0.2907801418439716,1.0,0.0,0.3333333333333333,0.5
0.07,0.28315412186379924,0.28315412186379924,1.0,0.0,0.3333333333333333,0.5
0.08,0.2753623188405797,0.2753623188405797,1.0,0.0,0.3333333333333333,0.5
0.09,0.2673992673992674,0.2673992673992674,1.0,0.0,0.3333333333333333,0.5
0.1,0.25925925925925924,0.25925925925925924,1.0,0.0,0.3333333333333333,0.5
0.11,0.250936329588015,0.25093632958801493,1.0,0.0,0.3333333333333333,0.5
0.12,0.24242424242424243,0.2424242424242424,1.0,0.0,0.3333333333333333,0.5
0.13,0.23371647509578541,0.23371647509578541,1.0,0.0,0.3333333333333333,0.5
0.14,0.22480620155038758,0.22480620155038755,1.0,0.0,0.3333333333333333,0.5
0.15,0.2156862745098039,0.21568627450980388,1.0,0.0,0.3333333333333333,0.5
0.16,0.20634920634920634,0.2063492063492063,1.0,0.0,0.3333333333333333,0.5
0.17,0.23092369477911645,0.19678714859437746,1.0,0.25,0.4,0.5714285714285714
0.18,0.22357723577235772,0.18699186991869918,1.0,0.25,0.4,0.5714285714285714
0.19,0.21604938271604937,0.17695473251028804,1.0,0.25,0.4,0.5714285714285714
0.2,0.20833333333333331,0.16666666666666663,1.0,0.25,0.4,0.5714285714285714
0.21,0.20042194092827004,0.1561181434599156,1.0,0.25,0.4,0.5714285714285714
0.22,0.1923076923076923,0.14529914529914525,1.0,0.25,0.4,0.5714285714285714
0.23,0.18398268398268397,0.13419913419913418,1.0,0.25,0.4,0.5714285714285714
0.24,0.17543859649122806,0.12280701754385961,1.0,0.25,0.4,0.5714285714285714
0.25,0.16666666666666666,0.11111111111111108,1.0,0.25,0.4,0.5714285714285714
0.26,0.15765765765765763,0.09909909909909903,1.0,0.25,0.4,0.5714285714285714
0.27,0.14840182648401823,0.08675799086757985,1.0,0.25,0.4,0.5714285714285714
0.28,0.20370370370370366,0.07407407407407396,1.0,0.5,0.5,0.6666666666666666
0.29,0.19718309859154928,0.061032863849765195,1.0,0.5,0.5,0.6666666666666666
0.3,0.19047619047619047,0.04761904761904756,1.0,0.5,0.5,0.6666666666666666
0.31,0.18357487922705312,0.033816425120772875,1.0,0.5,0.5,0.6666666666666666
0.32,0.1764705882352941,0.019607843137254832,1.0,0.5,0.5,0.6666666666666666
0.33,0.16915422885572134,0.004975124378109319,1.0,0.5,0.5,0.6666666666666666
0.34,0.16161616161616157,-0.010101010101010222,1.0,0.5,0.5,0.6666666666666666
0.35,0.15384615384615385,-0.02564102564102566,1.0,0.5,0.5,0.6666666666666666
0.36,0.14583333333333331,-0.04166666666666674,1.0,0.5,0.5,0.6666666666666666
0.37,0.13756613756613756,-0.05820105820105825,1.0,0.5,0.5,0.6666666666666666
0.38,0.12903225806451613,-0.07526881720430112,1.0,0.5,0.5,0.6666666666666666
0.39,0.12021857923497264,-0.09289617486338808,1.0,0.5,0.5,0.6666666666666666
0.4,0.11111111111111108,-0.11111111111111122,1.0,0.5,0.5,0.6666666666666666
0.41,0.10169491525423735,-0.12994350282485873,1.0,0.5,0.5,0.6666666666666666
0.42,0.09195402298850577,-0.14942528735632182,1.0,0.5,0.5,0.6666666666666666
0.43,0.08187134502923982,-0.1695906432748538,1.0,0.5,0.5,0.6666666666666666
0.44,0.07142857142857145,-0.19047619047619052,1.0,0.5,0.5,0.6666666666666666
0.45,0.06060606060606061,-0.2121212121212122,1.0,0.5,0.5,0.6666666666666666
0.46,0.04938271604938271,-0.234567901234568,1.0,0.5,0.5,0.6666666666666666
0.47,0.03773584905660382,-0.2578616352201258,1.0,0.5,0.5,0.6666666666666666
0.48,0.02564102564102566,-0.2820512820512821,1.0,0.5,0.5,0.6666666666666666
0.49,0.01307189542483661,-0.3071895424836602,1.0,0.5,0.5,0.6666666666666666
0.5,0.0,-0.3333333333333334,1.0,0.5,0.5,0.6666666666666666
